## Generation 0 
{'pos_end_effector': array([1.82872442, 1.44996416]), 'dist_end_effector': -4.0940843650671415, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([-0.53782506,  1.79203929]), 'dist_end_effector': -2.3128684304797167, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([3.51164404, 2.28274715]), 'dist_end_effector': -5.9656646428806, 'collision': False}
{'pos_end_effector': array([-0.37792181,  5.01533666]), 'dist_end_effector': -5.2711231695927685, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([-0.00731166,  2.28920894]), 'dist_end_effector': -3.0350097854400095, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([-0.63435785,  2.90906746]), 'dist_end_effector': -3.213666431508043, 'collision': False}
{'pos_end_effector': array([0.24259709, 0.79038811]), 'dist_end_effector': -2.3778046766498946, 'collision': False}
{'pos_end_effector': array([ 1.39191904, -3.55463465]), 'dist_end_effector': -4.913302581861505, 'collision': False}
{'pos_end_effector': array([-0.23288757, -6.73718014]), 'dist_end_effector': -6.965075920696616, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([ 2.65930916, -1.65882907]), 'dist_end_effector': -4.945793744389027, 'collision': False}
{'pos_end_effector': [0, 0], 'dist_end_effector': -1000000, 'collision': True}
{'pos_end_effector': array([-1.53995787,  2.73751603]), 'dist_end_effector': -2.77590215089866, 'collision': False}
